"payment_id";"guest_id";"room_number";"payment_amount";"payment_date";"payment_type"
"P000062";"G00053";210;213.88;"2026-02-16";"Card"
"P000063";"G00054";125;58.9;"2026-04-20";"Card"
"P000064";"G00055";530;209.92;"2026-01-13";"Cash"
"P000065";"G00056";227;236.22;"2026-04-20";"Card"
"P000066";"G00057";315;52.3;"2026-04-14";"Stripe"
"P000067";"G00058";502;74.45;"2026-04-08";"Stripe"
"P000068";"G00059";505;207.84;"2026-02-15";"Card"
"P000069";"G00061";327;2.19;"2026-01-20";"Card"
"P000070";"G00064";114;68.79;"2026-04-09";"Card"
"P000071";"G00065";405;52.53;"2026-04-02";"Stripe"
"P000072";"G00066";128;61.89;"2026-04-11";"Stripe"
"P000073";"G00067";131;100.4;"2026-02-28";"Card"
"P000074";"G00068";530;32.84;"2026-03-23";"Card"
"P000075";"G00068";530;66.74;"2026-03-23";"Stripe"
"P000076";"G00069";510;72.12;"2026-03-09";"Stripe"
"P000077";"G00070";415;181.89;"2026-03-12";"Card"
"P000078";"G00072";411;241.83;"2026-04-11";"Card"
"P000079";"G00073";412;0.75;"2026-06-10";"Stripe"
"P000080";"G00075";303;92.05;"2026-02-18";"Card"
"P000081";"G00075";303;118.59;"2026-02-17";"Card"
"P000082";"G00077";511;76.77;"2026-04-09";"Cash"
"P000083";"G00078";226;72.9;"2026-06-21";"Card"
"P000084";"G00078";226;122.95;"2026-06-22";"Stripe"
"P000085";"G00079";531;95.04;"2026-01-11";"Card"
"P000086";"G00079";531;92.71;"2026-01-11";"Card"
"P000087";"G00080";403;13.26;"2026-04-28";"Cash"
"P000088";"G00081";517;56.61;"2026-01-30";"Stripe"
"P000089";"G00081";517;71.72;"2026-01-28";"Card"
"P000090";"G00082";418;31.62;"2026-04-27";"Stripe"
"P000091";"G00082";418;57.35;"2026-04-25";"Card"
"P000092";"G00083";405;67.69;"2026-01-27";"Card"
"P000093";"G00084";430;49.82;"2026-06-09";"Card"
"P000094";"G00086";120;212.86;"2026-06-11";"Stripe"
"P000095";"G00087";433;242.39;"2026-03-23";"Card"
"P000096";"G00088";220;168.28;"2026-06-08";"Cash"
"P000097";"G00088";220;140.21;"2026-06-08";"Card"
"P000098";"G00089";332;104.14;"2026-01-31";"Card"
"P000099";"G00090";321;18.31;"2026-06-07";"Stripe"
"P000100";"G00091";210;98.56;"2026-01-28";"Card"
"P000101";"G00092";120;80.0;"2026-04-09";"Cash"
"P000102";"G00093";103;108.78;"2026-04-06";"Card"
"P000103";"G00094";526;124.37;"2026-06-03";"Card"
"P000104";"G00095";527;119.52;"2026-05-09";"Card"
"P000105";"G00095";527;155.69;"2026-05-10";"Cash"
"P000106";"G00096";431;5.12;"2026-03-11";"Stripe"
"P000107";"G00097";102;73.24;"2026-06-26";"Card"
"P000108";"G00097";102;19.65;"2026-06-26";"Card"
"P000109";"G00097";102;42.86;"2026-06-29";"Card"
"P000110";"G00099";530;121.48;"2026-04-05";"Stripe"
"P000111";"G00100";329;73.78;"2026-05-19";"Stripe"
"P000112";"G00101";427;332.51;"2026-01-26";"Card"
"P000113";"G00102";503;8.9;"2026-05-12";"Cash"
"P000114";"G00103";423;132.37;"2026-03-20";"Card"
"P000115";"G00104";402;229.68;"2026-05-14";"Card"
"P000116";"G00105";533;131.26;"2026-06-13";"Stripe"
"P000117";"G00105";533;79.36;"2026-06-13";"Card"
"P000118";"G00107";325;110.07;"2026-02-12";"Card"
"P000119";"G00109";431;190.48;"2026-01-31";"Cash"
"P000120";"G00110";129;5.0;"2026-05-19";"Card"
"P000121";"G00111";320;27.98;"2026-03-25";"Card"
"P000122";"G00112";502;45.25;"2026-01-29";"Card"
"P000123";"G00113";421;30.23;"2026-06-20";"Cash"
"P000124";"G00113";421;50.21;"2026-06-19";"Card"
"P000125";"G00114";128;160.24;"2026-02-20";"Card"
"P000126";"G00116";428;6.23;"2026-01-22";"Card"
"P000127";"G00116";428;15.99;"2026-01-18";"Stripe"
"P000128";"G00117";231;121.42;"2026-01-08";"Card"
"P000129";"G00118";316;164.3;"2026-06-29";"Card"
"P000130";"G00119";328;6.89;"2026-01-08";"Card"
"P000131";"G00120";127;113.11;"2026-06-25";"Card"
"P000132";"G00121";526;336.59;"2026-06-29";"Card"
"P000133";"G00122";101;71.35;"2026-05-04";"Card"
"P000134";"G00122";101;147.35;"2026-05-05";"Card"
"P000135";"G00123";328;33.63;"2026-06-25";"Stripe"
"P000136";"G00124";504;166.89;"2026-05-27";"Stripe"
"P000137";"G00125";214;5.31;"2026-04-26";"Card"
"P000138";"G00125";214;5.68;"2026-04-22";"Card"
"P000139";"G00126";414;121.27;"2026-05-06";"Cash"
"P000140";"G00128";207;95.7;"2026-05-26";"Card"
"P000141";"G00128";207;134.57;"2026-05-22";"Card"
"P000142";"G00129";530;79.56;"2026-04-18";"Card"
"P000143";"G00130";104;88.52;"2026-06-27";"Card"
"P000144";"G00131";226;32.02;"2026-03-07";"Stripe"
"P000145";"G00132";306;156.01;"2026-01-30";"Card"
"P000146";"G00133";228;171.18;"2026-02-14";"Card"
"P000147";"G00135";315;22.53;"2026-02-18";"Card"
"P000148";"G00136";501;39.36;"2026-06-12";"Card"
"P000149";"G00137";107;84.9;"2026-02-14";"Card"
"P000150";"G00137";107;213.42;"2026-02-14";"Card"
"P000151";"G00138";301;85.57;"2026-04-15";"Cash"
"P000152";"G00138";301;83.98;"2026-04-15";"Card"
"P000153";"G00139";416;223.79;"2026-05-14";"Stripe"
"P000154";"G00140";224;8.27;"2026-01-14";"Card"
"P000155";"G00140";224;5.01;"2026-01-14";"Cash"
"P000156";"G00141";307;243.11;"2026-02-22";"Card"
"P000157";"G00142";107;202.2;"2026-05-03";"Card"
"P000158";"G00143";122;127.88;"2026-06-29";"Card"
"P000159";"G00144";307;114.43;"2026-05-13";"Card"
"P000160";"G00145";234;99.32;"2026-01-29";"Card"
"P000161";"G00146";214;115.19;"2026-05-15";"Stripe"
"P000162";"G00148";114;117.76;"2026-01-22";"Card"
"P000163";"G00149";530;40.1;"2026-03-19";"Cash"
"P000164";"G00149";530;56.15;"2026-03-16";"Cash"
"P000165";"G00150";232;76.6;"2026-01-02";"Card"
"P000166";"G00151";133;153.53;"2026-01-14";"Card"
"P000167";"G00152";420;40.85;"2026-04-11";"Card"
"P000168";"G00152";420;72.04;"2026-04-14";"Stripe"
"P000169";"G00153";325;49.96;"2026-01-20";"Card"
"P000170";"G00154";425;47.08;"2026-02-25";"Cash"
"P000171";"G00155";225;86.67;"2026-02-02";"Card"
"P000172";"G00156";221;52.2;"2026-05-03";"Card"
"P000173";"G00156";221;49.81;"2026-05-02";"Card"
"P000174";"G00157";328;331.82;"2026-02-05";"Stripe"
"P000175";"G00158";214;154.27;"2026-03-06";"Stripe"
"P000176";"G00160";423;383.09;"2026-04-23";"Card"
"P000177";"G00162";234;24.77;"2026-04-17";"Card"
"P000178";"G00162";234;13.62;"2026-04-17";"Card"
"P000179";"G00163";417;19.24;"2026-03-13";"Card"
"P000180";"G00163";417;34.36;"2026-03-11";"Card"
"P000181";"G00164";203;205.6;"2026-05-08";"Card"
"P000182";"G00165";103;221.67;"2026-04-13";"Stripe"
"P000183";"G00166";212;216.01;"2026-05-04";"Stripe"
"P000184";"G00167";431;160.24;"2026-05-27";"Card"
"P000185";"G00168";419;6.49;"2026-05-17";"Stripe"
"P000186";"G00170";205;47.33;"2026-01-29";"Card"
"P000187";"G00171";504;62.67;"2026-04-28";"Card"
"P000188";"G00173";414;156.74;"2026-03-20";"Card"
"P000189";"G00174";312;149.16;"2026-03-18";"Stripe"
"P000190";"G00175";527;158.0;"2026-04-03";"Stripe"
"P000191";"G00176";533;41.49;"2026-02-19";"Stripe"
"P000192";"G00177";403;272.76;"2026-03-20";"Card"
"P000193";"G00178";324;171.53;"2026-06-10";"Card"
"P000194";"G00179";317;8.25;"2026-02-13";"Card"
"P000195";"G00179";317;5.04;"2026-02-15";"Stripe"
"P000196";"G00180";411;94.45;"2026-03-02";"Cash"
"P000197";"G00181";330;187.89;"2026-04-23";"Cash"
"P000198";"G00185";412;473.02;"2026-06-29";"Card"
"P000199";"G00186";118;49.79;"2026-03-25";"Card"
"P000200";"G00187";510;19.17;"2026-06-12";"Card"
"P000201";"G00188";231;207.81;"2026-03-11";"Cash"
"P000202";"G00192";421;21.71;"2026-04-28";"Card"
"P000203";"G00192";421;48.98;"2026-04-27";"Stripe"
"P000204";"G00193";234;138.12;"2026-03-24";"Stripe"
"P000205";"G00194";401;138.14;"2026-02-07";"Card"
"P000206";"G00195";309;313.49;"2026-05-17";"Card"
"P000207";"G00196";209;83.88;"2026-04-20";"Card"
"P000208";"G00197";507;36.62;"2026-01-07";"Card"
"P000209";"G00197";507;79.64;"2026-01-09";"Cash"
"P000210";"G00198";422;146.28;"2026-02-23";"Stripe"
"P000211";"G00199";505;211.34;"2026-03-18";"Card"
"P000212";"G00200";215;62.55;"2026-03-19";"Stripe"
"P000213";"G00201";511;81.25;"2026-01-07";"Card"
"P000214";"G00201";511;121.16;"2026-01-07";"Stripe"
"P000215";"G00202";404;247.21;"2026-01-23";"Card"
"P000216";"G00204";410;183.31;"2026-03-03";"Stripe"
"P000217";"G00205";532;5.0;"2026-04-13";"Cash"
"P000218";"G00206";513;5.04;"2026-04-15";"Stripe"
"P000219";"G00207";314;54.22;"2026-04-02";"Card"
"P000220";"G00207";314;36.48;"2026-03-29";"Card"
"P000221";"G00209";417;5.0;"2026-04-23";"Card"
"P000222";"G00210";312;34.71;"2026-06-30";"Card"
"P000223";"G00211";432;211.48;"2026-06-10";"Card"
"P000224";"G00212";412;47.77;"2026-03-16";"Card"
"P000225";"G00213";125;29.77;"2026-01-11";"Stripe"
"P000226";"G00214";502;227.19;"2026-04-14";"Stripe"
"P000227";"G00215";523;170.23;"2026-02-25";"Card"
"P000228";"G00217";418;47.2;"2026-05-07";"Card"
"P000229";"G00217";418;49.66;"2026-05-05";"Card"
"P000230";"G00218";119;58.04;"2026-06-25";"Card"
"P000231";"G00218";119;61.7;"2026-06-25";"Stripe"
"P000232";"G00219";509;53.59;"2026-05-11";"Card"
"P000233";"G00221";226;201.73;"2026-06-02";"Card"
"P000234";"G00222";207;13.77;"2026-03-22";"Card"
"P000235";"G00224";122;8.05;"2026-06-30";"Card"
"P000236";"G00224";122;21.84;"2026-06-30";"Cash"
"P000237";"G00227";333;52.5;"2026-02-10";"Cash"
"P000238";"G00228";429;174.74;"2026-04-07";"Card"
"P000239";"G00229";429;152.52;"2026-05-28";"Card"
"P000240";"G00230";303;84.39;"2026-01-17";"Stripe"
"P000241";"G00231";134;290.98;"2026-03-13";"Cash"
"P000242";"G00232";215;21.19;"2026-02-25";"Card"
"P000243";"G00233";213;210.21;"2026-02-24";"Card"
"P000244";"G00234";128;220.25;"2026-03-17";"Card"
"P000245";"G00235";202;102.91;"2026-01-23";"Stripe"
"P000246";"G00236";422;120.69;"2026-03-22";"Card"
"P000247";"G00238";511;146.93;"2026-02-28";"Card"
"P000248";"G00239";208;63.05;"2026-06-30";"Card"
"P000249";"G00240";106;61.86;"2026-06-04";"Card"
"P000250";"G00240";106;36.98;"2026-06-01";"Card"
"P000251";"G00241";122;39.9;"2026-06-26";"Stripe"
"P000252";"G00241";122;103.16;"2026-06-23";"Card"
"P000253";"G00242";312;42.89;"2026-02-09";"Card"
"P000254";"G00243";228;50.01;"2026-06-04";"Card"
"P000255";"G00244";226;288.3;"2026-02-04";"Card"
"P000256";"G00246";405;72.4;"2026-05-17";"Card"
"P000257";"G00247";524;115.24;"2026-04-25";"Card"
"P000258";"G00248";208;84.41;"2026-02-10";"Stripe"
"P000259";"G00249";531;166.64;"2026-03-21";"Cash"
"P000260";"G00250";131;58.6;"2026-01-10";"Card"
"P000261";"G00251";302;23.44;"2026-02-15";"Cash"
"P000262";"G00251";302;36.11;"2026-02-15";"Cash"
"P000263";"G00252";226;5.0;"2026-01-26";"Stripe"
"P000264";"G00253";512;12.19;"2026-04-11";"Card"
"P000265";"G00253";512;22.76;"2026-04-11";"Card"
"P000266";"G00254";203;261.13;"2026-05-13";"Card"
"P000267";"G00255";102;221.19;"2026-03-10";"Stripe"
"P000268";"G00257";303;26.51;"2026-06-05";"Cash"
"P000269";"G00257";303;50.15;"2026-06-04";"Card"
"P000270";"G00258";217;40.81;"2026-06-15";"Cash"
"P000271";"G00258";217;17.11;"2026-06-16";"Card"
"P000272";"G00258";217;16.29;"2026-06-15";"Stripe"
"P000273";"G00259";431;138.94;"2026-03-28";"Stripe"
"P000274";"G00260";527;131.64;"2026-02-18";"Card"
"P000275";"G00261";514;49.16;"2026-04-15";"Card"
"P000276";"G00262";429;87.4;"2026-01-20";"Card"
"P000277";"G00263";207;115.85;"2026-05-16";"Card"
"P000278";"G00263";207;46.68;"2026-05-16";"Card"
"P000279";"G00263";207;36.17;"2026-05-16";"Stripe"
"P000280";"G00264";401;187.79;"2026-04-05";"Cash"
"P000281";"G00265";423;137.26;"2026-03-06";"Card"
"P000282";"G00265";423;34.2;"2026-03-06";"Stripe"
"P000283";"G00265";423;60.85;"2026-03-06";"Card"
"P000284";"G00266";413;258.85;"2026-06-22";"Card"
"P000285";"G00267";305;76.5;"2026-03-10";"Card"
"P000286";"G00267";305;185.93;"2026-03-06";"Card"
"P000287";"G00268";102;8.06;"2026-05-10";"Card"
"P000288";"G00268";102;19.28;"2026-05-13";"Card"
"P000289";"G00270";205;43.12;"2026-03-21";"Card"
"P000290";"G00270";205;26.68;"2026-03-21";"Card"
"P000291";"G00271";412;60.47;"2026-05-24";"Cash"
"P000292";"G00272";220;190.04;"2026-06-07";"Card"
"P000293";"G00273";403;27.5;"2026-03-27";"Card"
"P000294";"G00273";403;41.37;"2026-03-27";"Card"
"P000295";"G00274";508;61.96;"2026-05-22";"Cash"
"P000296";"G00274";508;94.53;"2026-05-24";"Card"
"P000297";"G00275";107;104.06;"2026-01-28";"Cash"
"P000298";"G00276";512;289.03;"2026-04-30";"Card"
"P000299";"G00277";307;125.96;"2026-01-08";"Stripe"
"P000300";"G00278";323;230.05;"2026-01-09";"Card"
"P000301";"G00279";329;170.3;"2026-05-28";"Stripe"
"P000302";"G00280";423;120.06;"2026-02-24";"Card"
"P000303";"G00281";110;89.13;"2026-05-10";"Card"
"P000304";"G00282";303;53.41;"2026-06-03";"Card"
"P000305";"G00283";207;62.67;"2026-01-21";"Card"
"P000306";"G00284";514;19.98;"2026-03-18";"Cash"
"P000307";"G00285";302;86.79;"2026-01-22";"Card"
"P000308";"G00286";417;124.1;"2026-03-01";"Card"
"P000309";"G00287";416;144.71;"2026-04-24";"Card"
"P000310";"G00288";123;53.03;"2026-05-20";"Card"
"P000311";"G00289";404;91.32;"2026-05-13";"Card"
"P000312";"G00290";220;129.1;"2026-04-19";"Card"
"P000313";"G00291";408;75.18;"2026-04-14";"Card"
"P000314";"G00291";408;87.39;"2026-04-15";"Stripe"
"P000315";"G00292";510;108.93;"2026-06-28";"Card"
"P000316";"G00293";519;106.78;"2026-06-14";"Card"
"P000317";"G00294";216;56.93;"2026-06-25";"Card"
"P000318";"G00296";114;185.83;"2026-05-06";"Card"
"P000319";"G00297";414;56.79;"2026-05-27";"Card"
"P000320";"G00299";518;191.97;"2026-03-20";"Card"
"P000321";"G00301";421;136.61;"2026-04-16";"Card"
"P000322";"G00302";529;71.31;"2026-02-23";"Stripe"
"P000323";"G00302";529;60.52;"2026-02-23";"Stripe"
"P000324";"G00303";225;9.05;"2026-03-25";"Card"
"P000325";"G00303";225;5.04;"2026-03-27";"Card"
"P000326";"G00304";202;173.26;"2026-06-14";"Card"
"P000327";"G00305";104;149.44;"2026-02-19";"Card"
"P000328";"G00306";228;87.25;"2026-04-27";"Stripe"
"P000329";"G00306";228;69.95;"2026-04-23";"Card"
"P000330";"G00307";312;186.78;"2026-01-16";"Card"
"P000331";"G00308";323;164.99;"2026-06-10";"Cash"
"P000332";"G00310";503;71.67;"2026-03-08";"Card"
"P000333";"G00311";324;90.65;"2026-01-09";"Card"
"P000334";"G00311";324;151.53;"2026-01-16";"Card"
"P000335";"G00313";428;18.68;"2026-06-22";"Card"
"P000336";"G00313";428;50.72;"2026-06-22";"Card"
"P000337";"G00314";430;322.55;"2026-05-24";"Card"
"P000338";"G00315";334;135.18;"2026-01-06";"Stripe"
"P000339";"G00316";109;36.45;"2026-01-31";"Card"
"P000340";"G00318";524;17.23;"2026-06-18";"Stripe"
"P000341";"G00321";211;86.67;"2026-01-19";"Card"
"P000342";"G00322";425;104.79;"2026-02-16";"Stripe"
"P000343";"G00323";306;135.81;"2026-06-16";"Card"
"P000344";"G00324";522;51.84;"2026-06-09";"Cash"
"P000345";"G00325";132;2.01;"2026-05-13";"Card"
"P000346";"G00325";132;1.09;"2026-05-13";"Cash"
"P000347";"G00326";123;206.55;"2026-02-22";"Card"
"P000348";"G00327";102;11.41;"2026-01-27";"Card"
"P000349";"G00328";101;112.9;"2026-04-30";"Card"
"P000350";"G00329";527;44.57;"2026-05-24";"Card"
"P000351";"G00331";405;277.16;"2026-03-21";"Card"
"P000352";"G00332";411;2.91;"2026-03-21";"Card"
"P000353";"G00333";315;84.28;"2026-03-21";"Card"
"P000354";"G00333";315;196.94;"2026-03-21";"Card"
"P000355";"G00335";220;191.43;"2026-05-16";"Card"
"P000356";"G00337";205;135.52;"2026-03-17";"Card"
"P000357";"G00339";326;73.54;"2026-04-06";"Card"
"P000358";"G00340";407;160.13;"2026-03-21";"Card"
"P000359";"G00340";407;134.5;"2026-03-21";"Stripe"
"P000360";"G00341";228;58.57;"2026-04-24";"Card"
"P000361";"G00342";319;135.95;"2026-06-23";"Stripe"
"P000362";"G00343";233;160.28;"2026-02-13";"Cash"
"P000363";"G00343";233;67.4;"2026-02-10";"Cash"
"P000364";"G00343";233;40.4;"2026-02-10";"Card"
"P000365";"G00344";205;221.19;"2026-04-04";"Stripe"
"P000366";"G00345";127;233.34;"2026-05-03";"Card"
"P000367";"G00346";313;42.09;"2026-02-25";"Card"
"P000368";"G00347";516;84.15;"2026-02-11";"Card"
"P000369";"G00348";429;49.73;"2026-01-25";"Stripe"
"P000370";"G00348";429;51.07;"2026-01-25";"Card"
"P000371";"G00349";307;107.61;"2026-05-18";"Card"
"P000372";"G00350";432;37.66;"2026-04-05";"Card"
"P000373";"G00351";301;18.83;"2026-05-16";"Stripe"
"P000374";"G00351";301;50.89;"2026-05-18";"Card"
"P000375";"G00352";302;47.71;"2026-01-27";"Stripe"
"P000376";"G00353";125;133.25;"2026-05-10";"Card"
"P000377";"G00354";110;232.65;"2026-03-26";"Card"
"P000378";"G00355";103;209.58;"2026-02-01";"Card"
"P000379";"G00356";201;292.3;"2026-05-20";"Card"
"P000380";"G00357";508;195.11;"2026-03-07";"Card"
"P000381";"G00359";422;31.43;"2026-06-30";"Card"
"P000382";"G00360";303;23.22;"2026-03-02";"Card"
"P000383";"G00361";314;59.83;"2026-03-07";"Card"
"P000384";"G00362";231;142.05;"2026-05-01";"Card"
"P000385";"G00363";129;65.67;"2026-05-12";"Card"
"P000386";"G00364";329;99.27;"2026-02-13";"Card"
"P000387";"G00366";424;96.94;"2026-05-26";"Stripe"
"P000388";"G00367";514;31.3;"2026-01-26";"Card"
"P000389";"G00368";224;94.04;"2026-03-03";"Card"
"P000390";"G00369";431;23.49;"2026-06-25";"Card"
"P000391";"G00370";207;122.08;"2026-04-22";"Card"
"P000392";"G00371";225;213.16;"2026-03-10";"Cash"
"P000393";"G00372";203;504.3;"2026-05-04";"Card"
"P000394";"G00374";228;92.47;"2026-01-21";"Card"
"P000395";"G00375";123;14.92;"2026-04-25";"Card"
"P000396";"G00376";314;237.87;"2026-04-19";"Card"
"P000397";"G00377";512;14.23;"2026-01-11";"Stripe"
"P000398";"G00378";510;66.84;"2026-04-30";"Cash"
"P000399";"G00378";510;73.06;"2026-04-30";"Cash"
"P000400";"G00380";421;112.91;"2026-01-12";"Card"
"P000401";"G00381";115;166.87;"2026-06-24";"Stripe"
"P000402";"G00382";215;90.27;"2026-01-18";"Card"
"P000403";"G00382";215;110.37;"2026-01-18";"Card"
"P000404";"G00383";525;193.46;"2026-02-20";"Stripe"
"P000405";"G00384";114;61.8;"2026-03-10";"Card"
"P000406";"G00384";114;161.92;"2026-03-08";"Card"
"P000407";"G00385";512;192.05;"2026-03-17";"Cash"
"P000408";"G00386";501;20.63;"2026-03-04";"Stripe"
"P000409";"G00387";125;179.31;"2026-06-15";"Card"
"P000410";"G00388";423;36.92;"2026-03-11";"Card"
"P000411";"G00389";310;104.45;"2026-06-04";"Card"
"P000412";"G00390";516;1.96;"2026-04-04";"Card"
"P000413";"G00391";128;38.49;"2026-03-28";"Stripe"
"P000414";"G00391";128;19.78;"2026-03-26";"Card"
"P000415";"G00391";128;26.3;"2026-03-28";"Cash"
"P000416";"G00392";533;176.09;"2026-05-03";"Card"
"P000417";"G00393";520;220.8;"2026-05-23";"Stripe"
"P000418";"G00394";223;53.26;"2026-03-31";"Stripe"
"P000419";"G00394";223;36.96;"2026-03-31";"Card"
"P000420";"G00395";329;99.98;"2026-05-21";"Card"
"P000421";"G00396";308;127.02;"2026-04-26";"Card"
"P000422";"G00397";227;80.94;"2026-04-25";"Card"
"P000423";"G00397";227;64.6;"2026-04-23";"Card"
"P000424";"G00398";520;124.6;"2026-01-29";"Card"
"P000425";"G00399";130;33.31;"2026-02-01";"Card"
"P000426";"G00399";130;47.85;"2026-02-01";"Cash"
"P000427";"G00400";408;11.01;"2026-04-13";"Cash"
"P000428";"G00402";206;116.27;"2026-02-23";"Stripe"
"P000429";"G00403";313;128.3;"2026-02-16";"Stripe"
"P000430";"G00404";421;21.72;"2026-01-05";"Card"
"P000431";"G00404";421;22.91;"2026-01-05";"Card"
"P000432";"G00406";121;47.85;"2026-03-04";"Stripe"
"P000433";"G00410";115;30.61;"2026-04-14";"Card"
"P000434";"G00410";115;25.79;"2026-04-14";"Card"
"P000435";"G00411";225;147.54;"2026-02-14";"Card"
"P000436";"G00412";504;96.01;"2026-05-04";"Card"
"P000437";"G00412";504;111.52;"2026-05-04";"Cash"
"P000438";"G00413";228;61.39;"2026-03-18";"Cash"
"P000439";"G00414";310;171.84;"2026-05-21";"Cash"
"P000440";"G00416";505;141.06;"2026-03-20";"Card"
"P000441";"G00417";205;109.37;"2026-02-10";"Card"
"P000442";"G00418";527;110.42;"2026-05-25";"Card"
"P000443";"G00419";115;257.89;"2026-04-04";"Stripe"
"P000444";"G00420";202;243.39;"2026-06-20";"Card"
"P000445";"G00421";514;188.25;"2026-01-17";"Card"
"P000446";"G00422";232;108.42;"2026-01-21";"Card"
"P000447";"G00423";323;261.46;"2026-01-15";"Card"
"P000448";"G00424";119;54.29;"2026-01-31";"Cash"
"P000449";"G00425";128;273.11;"2026-05-27";"Card"
"P000450";"G00426";532;72.21;"2026-05-03";"Card"
"P000451";"G00427";421;51.42;"2026-04-26";"Card"
"P000452";"G00428";506;13.76;"2026-03-26";"Card"
"P000453";"G00429";215;18.58;"2026-04-01";"Stripe"
"P000454";"G00429";215;15.11;"2026-04-01";"Card"
"P000455";"G00430";112;222.61;"2026-04-08";"Card"
"P000456";"G00432";223;215.9;"2026-02-15";"Card"
"P000457";"G00433";512;16.27;"2026-05-12";"Card"
"P000458";"G00434";422;249.03;"2026-02-23";"Cash"
"P000459";"G00435";203;307.0;"2026-05-13";"Card"
"P000460";"G00436";306;149.96;"2026-06-21";"Card"
"P000461";"G00437";211;122.86;"2026-03-27";"Card"
"P000462";"G00438";334;125.54;"2026-04-06";"Card"
"P000463";"G00439";315;48.79;"2026-06-07";"Card"
"P000464";"G00440";206;138.55;"2026-02-18";"Stripe"
"P000465";"G00441";333;54.83;"2026-04-09";"Card"
"P000466";"G00441";333;100.07;"2026-04-09";"Card"
"P000467";"G00442";234;100.67;"2026-04-24";"Stripe"
"P000468";"G00443";427;54.95;"2026-05-28";"Card"
"P000469";"G00444";431;129.82;"2026-04-03";"Cash"
"P000470";"G00445";501;182.79;"2026-06-14";"Card"
"P000471";"G00446";410;66.37;"2026-03-22";"Card"
