"transaction_id";"transaction_date";"guest_id";"room_number";"outlet";"charge_amount"
"FB000030";"2026-06-21";"G00033";210;"Restaurant & Bar";53.0
"FB000031";"2026-06-24";"G00033";210;"Restaurant & Bar";38.0
"FB000032";"2026-06-22";"G00033";210;"Restaurant & Bar";82.0
"FB000033";"2026-05-06";"G00034";332;"Restaurant & Bar";33.0
"FB000034";"2026-05-06";"G00034";332;"Breakfast";18.0
"FB000035";"2026-05-08";"G00034";332;"Restaurant & Bar";115.0
"FB000036";"2026-05-08";"G00034";332;"Restaurant & Bar";66.0
"FB000037";"2026-03-25";"G00035";104;"Restaurant & Bar";106.0
"FB000038";"2026-03-24";"G00035";104;"Restaurant & Bar";56.0
"FB000039";"2026-03-25";"G00035";104;"Breakfast";16.0
"FB000040";"2026-06-13";"G00036";329;"Breakfast";27.0
"FB000041";"2026-06-13";"G00036";329;"Breakfast";30.0
"FB000042";"2026-06-13";"G00036";329;"Restaurant & Bar";111.0
"FB000043";"2026-05-07";"G00038";530;"Room Service";74.0
"FB000044";"2026-05-08";"G00038";530;"Restaurant & Bar";76.0
"FB000045";"2026-05-18";"G00040";405;"Restaurant & Bar";44.0
"FB000046";"2026-06-12";"G00041";530;"Room Service";21.0
"FB000047";"2026-06-10";"G00041";530;"Breakfast";35.0
"FB000048";"2026-06-12";"G00041";530;"Restaurant & Bar";114.0
"FB000049";"2026-01-06";"G00043";104;"Room Service";50.0
"FB000050";"2026-05-28";"G00044";420;"Restaurant & Bar";39.0
"FB000051";"2026-05-28";"G00044";420;"Restaurant & Bar";43.0
"FB000052";"2026-05-29";"G00044";420;"Restaurant & Bar";71.0
"FB000053";"2026-04-05";"G00046";217;"Restaurant & Bar";105.0
"FB000054";"2026-04-05";"G00046";217;"Restaurant & Bar";49.0
"FB000055";"2026-02-14";"G00048";131;"Restaurant & Bar";113.0
"FB000056";"2026-02-12";"G00048";131;"Restaurant & Bar";73.0
"FB000057";"2026-01-20";"G00049";232;"Breakfast";25.0
"FB000058";"2026-04-25";"G00052";227;"Restaurant & Bar";32.0
"FB000059";"2026-04-25";"G00052";227;"Restaurant & Bar";101.0
"FB000060";"2026-02-15";"G00053";210;"Restaurant & Bar";59.0
"FB000061";"2026-02-14";"G00053";210;"Restaurant & Bar";31.0
"FB000062";"2026-02-14";"G00053";210;"Restaurant & Bar";66.0
"FB000063";"2026-04-18";"G00054";125;"Room Service";51.0
"FB000064";"2026-04-19";"G00054";125;"Room Service";70.0
"FB000065";"2026-01-12";"G00055";530;"Restaurant & Bar";88.0
"FB000066";"2026-01-09";"G00055";530;"Restaurant & Bar";112.0
"FB000067";"2026-04-15";"G00056";227;"Breakfast";33.0
"FB000068";"2026-04-16";"G00056";227;"Room Service";77.0
"FB000069";"2026-02-18";"G00059";505;"Breakfast";28.0
"FB000070";"2026-02-17";"G00059";505;"Restaurant & Bar";102.0
"FB000071";"2026-01-30";"G00060";424;"Restaurant & Bar";64.0
"FB000072";"2026-01-31";"G00060";424;"Restaurant & Bar";111.0
"FB000073";"2026-01-30";"G00060";424;"Restaurant & Bar";57.0
"FB000074";"2026-06-24";"G00063";230;"Room Service";43.0
"FB000075";"2026-06-20";"G00063";230;"Restaurant & Bar";97.0
"FB000076";"2026-04-09";"G00064";114;"Restaurant & Bar";66.0
"FB000077";"2026-04-07";"G00064";114;"Breakfast";21.0
"FB000078";"2026-04-01";"G00065";405;"Restaurant & Bar";53.0
"FB000079";"2026-02-28";"G00067";131;"Restaurant & Bar";31.0
"FB000080";"2026-03-23";"G00068";530;"Room Service";29.0
"FB000081";"2026-03-07";"G00069";510;"Restaurant & Bar";72.0
"FB000082";"2026-03-09";"G00070";415;"Room Service";34.0
"FB000083";"2026-03-11";"G00070";415;"Breakfast";13.0
"FB000084";"2026-03-08";"G00070";415;"Restaurant & Bar";39.0
"FB000085";"2026-03-07";"G00070";415;"Room Service";49.0
"FB000086";"2026-03-07";"G00070";415;"Restaurant & Bar";46.0
"FB000087";"2026-01-22";"G00071";519;"Breakfast";31.0
"FB000088";"2026-01-21";"G00071";519;"Restaurant & Bar";42.0
"FB000089";"2026-04-11";"G00072";411;"Breakfast";15.0
"FB000090";"2026-04-11";"G00072";411;"Restaurant & Bar";47.0
"FB000091";"2026-04-12";"G00072";411;"Breakfast";17.0
"FB000092";"2026-05-28";"G00074";528;"Room Service";47.0
"FB000093";"2026-02-17";"G00075";303;"Restaurant & Bar";45.0
"FB000094";"2026-02-18";"G00075";303;"Room Service";65.0
"FB000095";"2026-04-09";"G00077";511;"Restaurant & Bar";109.0
"FB000096";"2026-06-21";"G00078";226;"Room Service";29.0
"FB000097";"2026-06-22";"G00078";226;"Room Service";71.0
"FB000098";"2026-06-22";"G00078";226;"Room Service";56.0
"FB000099";"2026-06-21";"G00078";226;"Breakfast";16.0
"FB000100";"2026-06-21";"G00078";226;"Breakfast";24.0
"FB000101";"2026-01-10";"G00079";531;"Breakfast";21.0
"FB000102";"2026-01-11";"G00079";531;"Restaurant & Bar";106.0
"FB000103";"2026-01-29";"G00081";517;"Restaurant & Bar";73.0
"FB000104";"2026-01-28";"G00081";517;"Restaurant & Bar";24.0
"FB000105";"2026-04-27";"G00082";418;"Breakfast";12.0
"FB000106";"2026-01-27";"G00083";405;"Restaurant & Bar";68.0
"FB000107";"2026-06-08";"G00084";430;"Breakfast";12.0
"FB000108";"2026-03-22";"G00087";433;"Room Service";72.0
"FB000109";"2026-03-22";"G00087";433;"Room Service";77.0
"FB000110";"2026-03-23";"G00087";433;"Restaurant & Bar";104.0
"FB000111";"2026-03-22";"G00087";433;"Restaurant & Bar";27.0
"FB000112";"2026-03-20";"G00087";433;"Breakfast";31.0
"FB000113";"2026-06-07";"G00088";220;"Breakfast";30.0
"FB000114";"2026-06-06";"G00088";220;"Restaurant & Bar";43.0
"FB000115";"2026-06-06";"G00088";220;"Room Service";45.0
"FB000116";"2026-06-06";"G00088";220;"Restaurant & Bar";34.0
"FB000117";"2026-01-24";"G00091";210;"Restaurant & Bar";60.0
"FB000118";"2026-04-06";"G00092";120;"Room Service";80.0
"FB000119";"2026-05-10";"G00095";527;"Breakfast";36.0
"FB000120";"2026-05-09";"G00095";527;"Breakfast";35.0
"FB000121";"2026-05-09";"G00095";527;"Restaurant & Bar";96.0
"FB000122";"2026-05-10";"G00095";527;"Breakfast";22.0
"FB000123";"2026-03-11";"G00096";431;"Breakfast";37.0
"FB000124";"2026-03-11";"G00096";431;"Breakfast";14.0
"FB000125";"2026-06-26";"G00097";102;"Breakfast";25.0
"FB000126";"2026-06-27";"G00097";102;"Breakfast";32.0
"FB000127";"2026-06-29";"G00097";102;"Breakfast";28.0
"FB000128";"2026-05-19";"G00100";329;"Room Service";19.0
"FB000129";"2026-05-17";"G00100";329;"Restaurant & Bar";38.0
"FB000130";"2026-01-22";"G00101";427;"Restaurant & Bar";87.0
"FB000131";"2026-01-22";"G00101";427;"Restaurant & Bar";40.0
"FB000132";"2026-01-21";"G00101";427;"Breakfast";22.0
"FB000133";"2026-01-24";"G00101";427;"Restaurant & Bar";78.0
"FB000134";"2026-05-17";"G00104";402;"Restaurant & Bar";114.0
"FB000135";"2026-06-14";"G00105";533;"Room Service";47.0
"FB000136";"2026-06-14";"G00105";533;"Breakfast";15.0
"FB000137";"2026-02-10";"G00107";325;"Restaurant & Bar";52.0
"FB000138";"2026-02-09";"G00107";325;"Room Service";60.0
"FB000139";"2026-01-31";"G00109";431;"Restaurant & Bar";78.0
"FB000140";"2026-05-19";"G00110";129;"Breakfast";35.0
"FB000141";"2026-01-29";"G00112";502;"Restaurant & Bar";101.0
"FB000142";"2026-01-29";"G00112";502;"Restaurant & Bar";78.0
"FB000143";"2026-01-13";"G00115";114;"Restaurant & Bar";43.0
"FB000144";"2026-01-11";"G00115";114;"Restaurant & Bar";27.0
"FB000145";"2026-01-12";"G00115";114;"Room Service";30.0
"FB000146";"2026-01-06";"G00117";231;"Restaurant & Bar";45.0
"FB000147";"2026-01-08";"G00117";231;"Restaurant & Bar";29.0
"FB000148";"2026-06-26";"G00121";526;"Restaurant & Bar";37.0
"FB000149";"2026-06-29";"G00121";526;"Breakfast";36.0
"FB000150";"2026-06-24";"G00121";526;"Room Service";45.0
"FB000151";"2026-06-27";"G00121";526;"Room Service";21.0
"FB000152";"2026-05-04";"G00122";101;"Restaurant & Bar";47.0
"FB000153";"2026-05-04";"G00122";101;"Room Service";27.0
"FB000154";"2026-05-05";"G00122";101;"Room Service";57.0
"FB000155";"2026-05-26";"G00124";504;"Breakfast";15.0
"FB000156";"2026-05-26";"G00124";504;"Breakfast";12.0
"FB000157";"2026-05-09";"G00126";414;"Room Service";59.0
"FB000158";"2026-05-07";"G00126";414;"Restaurant & Bar";26.0
"FB000159";"2026-05-09";"G00126";414;"Breakfast";29.0
"FB000160";"2026-06-23";"G00127";415;"Room Service";46.0
"FB000161";"2026-06-23";"G00127";415;"Restaurant & Bar";99.0
"FB000162";"2026-06-23";"G00127";415;"Room Service";39.0
"FB000163";"2026-06-23";"G00127";415;"Restaurant & Bar";90.0
"FB000164";"2026-05-23";"G00128";207;"Restaurant & Bar";23.0
"FB000165";"2026-06-25";"G00130";104;"Restaurant & Bar";113.0
"FB000166";"2026-01-29";"G00132";306;"Restaurant & Bar";100.0
"FB000167";"2026-02-11";"G00133";228;"Restaurant & Bar";102.0
"FB000168";"2026-02-16";"G00135";315;"Restaurant & Bar";23.0
"FB000169";"2026-06-13";"G00136";501;"Breakfast";34.0
"FB000170";"2026-02-14";"G00137";107;"Breakfast";38.0
"FB000171";"2026-02-13";"G00137";107;"Room Service";58.0
"FB000172";"2026-02-13";"G00137";107;"Breakfast";20.0
"FB000173";"2026-02-24";"G00141";307;"Room Service";62.0
"FB000174";"2026-02-24";"G00141";307;"Room Service";76.0
"FB000175";"2026-05-03";"G00142";107;"Restaurant & Bar";59.0
"FB000176";"2026-05-14";"G00144";307;"Breakfast";13.0
"FB000177";"2026-05-14";"G00144";307;"Restaurant & Bar";30.0
"FB000178";"2026-01-28";"G00145";234;"Restaurant & Bar";86.0
"FB000179";"2026-05-14";"G00146";214;"Room Service";59.0
"FB000180";"2026-05-11";"G00146";214;"Breakfast";28.0
"FB000181";"2026-05-12";"G00146";214;"Restaurant & Bar";28.0
"FB000182";"2026-03-13";"G00147";416;"Restaurant & Bar";67.0
"FB000183";"2026-03-15";"G00147";416;"Restaurant & Bar";89.0
"FB000184";"2026-01-23";"G00148";114;"Room Service";19.0
"FB000185";"2026-01-23";"G00148";114;"Restaurant & Bar";51.0
"FB000186";"2026-01-03";"G00150";232;"Restaurant & Bar";77.0
"FB000187";"2026-04-12";"G00152";420;"Restaurant & Bar";50.0
"FB000188";"2026-02-01";"G00155";225;"Breakfast";21.0
"FB000189";"2026-01-31";"G00155";225;"Restaurant & Bar";58.0
"FB000190";"2026-02-03";"G00157";328;"Room Service";38.0
"FB000191";"2026-02-03";"G00157";328;"Restaurant & Bar";75.0
"FB000192";"2026-02-03";"G00157";328;"Breakfast";27.0
"FB000193";"2026-03-07";"G00158";214;"Breakfast";19.0
"FB000194";"2026-04-21";"G00160";423;"Restaurant & Bar";58.0
"FB000195";"2026-04-20";"G00160";423;"Restaurant & Bar";54.0
"FB000196";"2026-04-20";"G00160";423;"Restaurant & Bar";43.0
"FB000197";"2026-04-15";"G00162";234;"Breakfast";32.0
"FB000198";"2026-05-06";"G00166";212;"Breakfast";12.0
"FB000199";"2026-05-04";"G00166";212;"Restaurant & Bar";94.0
"FB000200";"2026-05-07";"G00166";212;"Restaurant & Bar";105.0
"FB000201";"2026-05-25";"G00167";431;"Restaurant & Bar";80.0
"FB000202";"2026-04-02";"G00169";419;"Room Service";46.0
"FB000203";"2026-04-27";"G00171";504;"Breakfast";25.0
"FB000204";"2026-04-04";"G00172";312;"Breakfast";37.0
"FB000205";"2026-03-18";"G00177";403;"Breakfast";23.0
"FB000206";"2026-03-19";"G00177";403;"Restaurant & Bar";78.0
"FB000207";"2026-03-20";"G00177";403;"Restaurant & Bar";73.0
"FB000208";"2026-06-10";"G00178";324;"Room Service";70.0
"FB000209";"2026-06-09";"G00178";324;"Breakfast";28.0
"FB000210";"2026-06-10";"G00178";324;"Restaurant & Bar";53.0
"FB000211";"2026-06-09";"G00178";324;"Breakfast";21.0
"FB000212";"2026-03-02";"G00180";411;"Room Service";54.0
"FB000213";"2026-04-20";"G00181";330;"Restaurant & Bar";56.0
"FB000214";"2026-04-22";"G00181";330;"Restaurant & Bar";91.0
"FB000215";"2026-06-30";"G00185";412;"Restaurant & Bar";86.0
"FB000216";"2026-06-29";"G00185";412;"Restaurant & Bar";111.0
"FB000217";"2026-06-30";"G00185";412;"Restaurant & Bar";48.0
"FB000218";"2026-06-30";"G00185";412;"Restaurant & Bar";31.0
"FB000219";"2026-06-30";"G00185";412;"Restaurant & Bar";71.0
"FB000220";"2026-03-10";"G00188";231;"Restaurant & Bar";40.0
"FB000221";"2026-03-10";"G00188";231;"Restaurant & Bar";63.0
"FB000222";"2026-03-10";"G00188";231;"Restaurant & Bar";32.0
"FB000223";"2026-06-19";"G00189";421;"Breakfast";37.0
"FB000224";"2026-06-23";"G00189";421;"Restaurant & Bar";86.0
"FB000225";"2026-06-21";"G00189";421;"Restaurant & Bar";111.0
"FB000226";"2026-06-23";"G00190";108;"Breakfast";11.0
"FB000227";"2026-06-23";"G00190";108;"Room Service";35.0
"FB000228";"2026-06-24";"G00190";108;"Restaurant & Bar";59.0
"FB000229";"2026-03-01";"G00191";409;"Restaurant & Bar";94.0
"FB000230";"2026-02-28";"G00191";409;"Breakfast";35.0
"FB000231";"2026-03-27";"G00193";234;"Breakfast";15.0
"FB000232";"2026-05-16";"G00195";309;"Room Service";38.0
"FB000233";"2026-05-17";"G00195";309;"Restaurant & Bar";100.0
"FB000234";"2026-04-19";"G00196";209;"Restaurant & Bar";84.0
"FB000235";"2026-01-07";"G00197";507;"Breakfast";33.0
"FB000236";"2026-02-27";"G00198";422;"Restaurant & Bar";59.0
"FB000237";"2026-03-18";"G00199";505;"Room Service";84.0
"FB000238";"2026-03-19";"G00199";505;"Room Service";30.0
"FB000239";"2026-03-18";"G00199";505;"Restaurant & Bar";69.0
"FB000240";"2026-03-18";"G00200";215;"Breakfast";13.0
"FB000241";"2026-03-19";"G00200";215;"Restaurant & Bar";49.0
"FB000242";"2026-01-06";"G00201";511;"Restaurant & Bar";36.0
"FB000243";"2026-01-23";"G00202";404;"Breakfast";35.0
"FB000244";"2026-01-20";"G00202";404;"Restaurant & Bar";97.0
"FB000245";"2026-01-20";"G00202";404;"Restaurant & Bar";71.0
"FB000246";"2026-01-22";"G00202";404;"Breakfast";25.0
"FB000247";"2026-04-17";"G00203";114;"Breakfast";15.0
"FB000248";"2026-01-06";"G00208";222;"Restaurant & Bar";30.0
"FB000249";"2026-01-06";"G00208";222;"Room Service";27.0
"FB000250";"2026-01-07";"G00208";222;"Restaurant & Bar";21.0
"FB000251";"2026-04-20";"G00209";417;"Restaurant & Bar";27.0
"FB000252";"2026-04-22";"G00209";417;"Room Service";17.0
"FB000253";"2026-01-10";"G00213";125;"Restaurant & Bar";19.0
"FB000254";"2026-02-21";"G00216";503;"Breakfast";26.0
"FB000255";"2026-02-21";"G00216";503;"Restaurant & Bar";41.0
"FB000256";"2026-02-20";"G00216";503;"Restaurant & Bar";51.0
"FB000257";"2026-02-20";"G00216";503;"Restaurant & Bar";60.0
"FB000258";"2026-05-05";"G00217";418;"Restaurant & Bar";52.0
"FB000259";"2026-05-07";"G00219";509;"Breakfast";34.0
"FB000260";"2026-06-16";"G00220";429;"Restaurant & Bar";109.0
"FB000261";"2026-06-16";"G00220";429;"Restaurant & Bar";71.0
"FB000262";"2026-06-13";"G00220";429;"Restaurant & Bar";23.0
"FB000263";"2026-05-31";"G00221";226;"Restaurant & Bar";75.0
"FB000264";"2026-06-01";"G00221";226;"Restaurant & Bar";78.0
"FB000265";"2026-02-02";"G00223";330;"Breakfast";21.0
"FB000266";"2026-02-03";"G00223";330;"Room Service";18.0
"FB000267";"2026-02-03";"G00223";330;"Breakfast";11.0
"FB000268";"2026-02-02";"G00223";330;"Breakfast";34.0
"FB000269";"2026-06-30";"G00224";122;"Breakfast";27.0
"FB000270";"2026-04-18";"G00226";405;"Breakfast";30.0
"FB000271";"2026-02-10";"G00227";333;"Breakfast";30.0
"FB000272";"2026-04-06";"G00228";429;"Breakfast";33.0
"FB000273";"2026-04-06";"G00228";429;"Restaurant & Bar";90.0
"FB000274";"2026-04-07";"G00228";429;"Breakfast";23.0
"FB000275";"2026-05-27";"G00229";429;"Restaurant & Bar";76.0
"FB000276";"2026-05-27";"G00229";429;"Restaurant & Bar";76.0
"FB000277";"2026-03-11";"G00231";134;"Room Service";77.0
"FB000278";"2026-03-10";"G00231";134;"Restaurant & Bar";30.0
"FB000279";"2026-03-11";"G00231";134;"Restaurant & Bar";100.0
"FB000280";"2026-03-11";"G00231";134;"Breakfast";35.0
"FB000281";"2026-02-25";"G00232";215;"Room Service";21.0
"FB000282";"2026-02-24";"G00233";213;"Restaurant & Bar";49.0
"FB000283";"2026-02-24";"G00233";213;"Restaurant & Bar";55.0
"FB000284";"2026-02-24";"G00233";213;"Restaurant & Bar";60.0
"FB000285";"2026-03-15";"G00234";128;"Restaurant & Bar";68.0
"FB000286";"2026-03-17";"G00234";128;"Restaurant & Bar";110.0
"FB000287";"2026-03-21";"G00236";422;"Restaurant & Bar";81.0
"FB000288";"2026-03-22";"G00236";422;"Breakfast";33.0
"FB000289";"2026-02-26";"G00238";511;"Restaurant & Bar";85.0
"FB000290";"2026-02-28";"G00238";511;"Room Service";17.0
"FB000291";"2026-02-27";"G00238";511;"Breakfast";12.0
"FB000292";"2026-06-23";"G00241";122;"Restaurant & Bar";72.0
"FB000293";"2026-06-24";"G00241";122;"Breakfast";26.0
"FB000294";"2026-06-25";"G00241";122;"Restaurant & Bar";45.0
"FB000295";"2026-02-09";"G00242";312;"Breakfast";13.0
"FB000296";"2026-02-02";"G00244";226;"Restaurant & Bar";79.0
"FB000297";"2026-05-25";"G00245";133;"Room Service";37.0
"FB000298";"2026-05-25";"G00245";133;"Restaurant & Bar";28.0
"FB000299";"2026-05-26";"G00245";133;"Room Service";45.0
"FB000300";"2026-05-15";"G00246";405;"Restaurant & Bar";48.0
"FB000301";"2026-04-21";"G00247";524;"Restaurant & Bar";60.0
"FB000302";"2026-02-11";"G00248";208;"Restaurant & Bar";71.0
"FB000303";"2026-01-26";"G00252";226;"Restaurant & Bar";51.0
"FB000304";"2026-01-24";"G00252";226;"Restaurant & Bar";31.0
"FB000305";"2026-01-24";"G00252";226;"Breakfast";22.0
"FB000306";"2026-05-13";"G00254";203;"Restaurant & Bar";42.0
"FB000307";"2026-05-11";"G00254";203;"Restaurant & Bar";104.0
"FB000308";"2026-05-12";"G00254";203;"Breakfast";34.0
"FB000309";"2026-05-13";"G00254";203;"Breakfast";11.0
"FB000310";"2026-03-09";"G00255";102;"Breakfast";23.0
"FB000311";"2026-03-10";"G00255";102;"Breakfast";34.0
"FB000312";"2026-03-09";"G00255";102;"Room Service";55.0
"FB000313";"2026-06-05";"G00257";303;"Room Service";48.0
"FB000314";"2026-06-15";"G00258";217;"Restaurant & Bar";69.0
"FB000315";"2026-03-28";"G00259";431;"Room Service";81.0
"FB000316";"2026-02-18";"G00260";527;"Breakfast";30.0
"FB000317";"2026-02-16";"G00260";527;"Restaurant & Bar";22.0
"FB000318";"2026-02-18";"G00260";527;"Restaurant & Bar";36.0
"FB000319";"2026-04-15";"G00261";514;"Restaurant & Bar";41.0
"FB000320";"2026-01-18";"G00262";429;"Breakfast";37.0
"FB000321";"2026-05-15";"G00263";207;"Restaurant & Bar";19.0
"FB000322";"2026-05-16";"G00263";207;"Restaurant & Bar";92.0
"FB000323";"2026-05-16";"G00263";207;"Breakfast";27.0
"FB000324";"2026-05-16";"G00263";207;"Restaurant & Bar";25.0
"FB000325";"2026-04-03";"G00264";401;"Restaurant & Bar";56.0
"FB000326";"2026-04-05";"G00264";401;"Room Service";69.0
"FB000327";"2026-03-06";"G00265";423;"Restaurant & Bar";31.0
"FB000328";"2026-03-05";"G00265";423;"Restaurant & Bar";107.0
"FB000329";"2026-03-04";"G00265";423;"Restaurant & Bar";39.0
"FB000330";"2026-06-17";"G00266";413;"Room Service";83.0
"FB000331";"2026-06-19";"G00266";413;"Restaurant & Bar";38.0
"FB000332";"2026-06-21";"G00266";413;"Room Service";20.0
"FB000333";"2026-03-06";"G00267";305;"Restaurant & Bar";73.0
"FB000334";"2026-03-06";"G00267";305;"Restaurant & Bar";75.0
"FB000335";"2026-05-10";"G00268";102;"Breakfast";12.0
"FB000336";"2026-03-20";"G00270";205;"Breakfast";30.0
"FB000337";"2026-06-05";"G00272";220;"Restaurant & Bar";86.0
"FB000338";"2026-06-04";"G00272";220;"Restaurant & Bar";83.0
"FB000339";"2026-06-07";"G00272";220;"Room Service";18.0
"FB000340";"2026-03-23";"G00273";403;"Breakfast";31.0
"FB000341";"2026-03-24";"G00273";403;"Breakfast";38.0
"FB000342";"2026-05-22";"G00274";508;"Breakfast";18.0
"FB000343";"2026-05-23";"G00274";508;"Breakfast";38.0
"FB000344";"2026-01-28";"G00275";107;"Breakfast";28.0
"FB000345";"2026-01-27";"G00275";107;"Restaurant & Bar";96.0
"FB000346";"2026-04-29";"G00276";512;"Restaurant & Bar";112.0
"FB000347";"2026-04-26";"G00276";512;"Restaurant & Bar";66.0
"FB000348";"2026-01-08";"G00277";307;"Restaurant & Bar";91.0
"FB000349";"2026-01-12";"G00278";323;"Restaurant & Bar";79.0
"FB000350";"2026-01-11";"G00278";323;"Restaurant & Bar";84.0
"FB000351";"2026-01-11";"G00278";323;"Room Service";67.0
"FB000352";"2026-05-28";"G00279";329;"Restaurant & Bar";94.0
"FB000353";"2026-05-10";"G00281";110;"Room Service";70.0
"FB000354";"2026-01-21";"G00283";207;"Restaurant & Bar";51.0
"FB000355";"2026-01-21";"G00285";302;"Breakfast";36.0
"FB000356";"2026-01-19";"G00285";302;"Restaurant & Bar";25.0
"FB000357";"2026-01-21";"G00285";302;"Breakfast";26.0
"FB000358";"2026-04-23";"G00287";416;"Restaurant & Bar";73.0
"FB000359";"2026-05-12";"G00289";404;"Breakfast";29.0
"FB000360";"2026-04-15";"G00291";408;"Restaurant & Bar";98.0
"FB000361";"2026-06-26";"G00292";510;"Breakfast";32.0
"FB000362";"2026-06-28";"G00292";510;"Restaurant & Bar";77.0
"FB000363";"2026-06-13";"G00293";519;"Restaurant & Bar";79.0
"FB000364";"2026-06-25";"G00294";216;"Restaurant & Bar";51.0
"FB000365";"2026-06-25";"G00294";216;"Breakfast";15.0
"FB000366";"2026-06-24";"G00294";216;"Room Service";83.0
"FB000367";"2026-01-09";"G00295";110;"Breakfast";24.0
"FB000368";"2026-05-04";"G00296";114;"Restaurant & Bar";88.0
"FB000369";"2026-05-06";"G00296";114;"Breakfast";23.0
"FB000370";"2026-03-18";"G00299";518;"Restaurant & Bar";88.0
"FB000371";"2026-05-05";"G00300";416;"Restaurant & Bar";55.0
"FB000372";"2026-05-07";"G00300";416;"Breakfast";22.0
"FB000373";"2026-04-16";"G00301";421;"Restaurant & Bar";83.0
"FB000374";"2026-02-23";"G00302";529;"Restaurant & Bar";49.0
"FB000375";"2026-06-16";"G00304";202;"Restaurant & Bar";55.0
"FB000376";"2026-06-15";"G00304";202;"Restaurant & Bar";61.0
"FB000377";"2026-02-20";"G00305";104;"Room Service";68.0
"FB000378";"2026-02-20";"G00305";104;"Room Service";27.0
"FB000379";"2026-06-09";"G00308";323;"Restaurant & Bar";81.0
"FB000380";"2026-01-13";"G00309";511;"Breakfast";24.0
"FB000381";"2026-01-15";"G00309";511;"Restaurant & Bar";57.0
"FB000382";"2026-01-15";"G00309";511;"Restaurant & Bar";112.0
"FB000383";"2026-01-12";"G00311";324;"Restaurant & Bar";51.0
"FB000384";"2026-01-11";"G00311";324;"Restaurant & Bar";78.0
"FB000385";"2026-01-14";"G00311";324;"Restaurant & Bar";79.0
"FB000386";"2026-03-04";"G00312";301;"Restaurant & Bar";98.0
"FB000387";"2026-05-23";"G00314";430;"Restaurant & Bar";24.0
"FB000388";"2026-05-21";"G00314";430;"Restaurant & Bar";95.0
"FB000389";"2026-05-23";"G00314";430;"Breakfast";36.0
"FB000390";"2026-05-20";"G00314";430;"Restaurant & Bar";76.0
"FB000391";"2026-05-21";"G00314";430;"Restaurant & Bar";84.0
"FB000392";"2026-01-05";"G00315";334;"Restaurant & Bar";35.0
"FB000393";"2026-01-06";"G00315";334;"Room Service";44.0
"FB000394";"2026-03-11";"G00317";516;"Restaurant & Bar";103.0
"FB000395";"2026-03-11";"G00317";516;"Breakfast";32.0
"FB000396";"2026-03-12";"G00317";516;"Restaurant & Bar";46.0
"FB000397";"2026-06-16";"G00318";524;"Restaurant & Bar";70.0
"FB000398";"2026-05-05";"G00319";312;"Restaurant & Bar";74.0
"FB000399";"2026-05-05";"G00319";312;"Room Service";64.0
"FB000400";"2026-05-04";"G00319";312;"Restaurant & Bar";77.0
"FB000401";"2026-01-18";"G00321";211;"Breakfast";14.0
"FB000402";"2026-01-18";"G00321";211;"Restaurant & Bar";61.0
"FB000403";"2026-02-16";"G00322";425;"Restaurant & Bar";27.0
"FB000404";"2026-02-16";"G00322";425;"Restaurant & Bar";44.0
"FB000405";"2026-06-21";"G00323";306;"Breakfast";35.0
"FB000406";"2026-06-18";"G00323";306;"Restaurant & Bar";55.0
"FB000407";"2026-06-06";"G00324";522;"Room Service";84.0
"FB000408";"2026-06-08";"G00324";522;"Breakfast";36.0
