"guest_id";"room_number";"checkout_date";"checkout_status";"unpaid_amount";"disputed_amount"
"G00053";210;"2026-02-16";"Paid";0.0;0.0
"G00054";125;"2026-04-20";"Disputed";18.08;18.08
"G00055";530;"2026-01-13";"Paid";0.0;0.0
"G00056";227;"2026-04-20";"Paid";0.0;0.0
"G00057";315;"2026-04-16";"Paid";0.0;0.0
"G00058";502;"2026-04-09";"Paid";0.0;0.0
"G00059";505;"2026-02-18";"Paid";0.0;0.0
"G00060";424;"2026-01-31";"Unpaid";15.89;0.0
"G00061";327;"2026-01-20";"Paid";0.0;0.0
"G00062";405;"2026-03-05";"Paid";0.0;0.0
"G00063";230;"2026-06-25";"Unpaid";11.99;0.0
"G00064";114;"2026-04-09";"Unpaid";42.42;0.0
"G00065";405;"2026-04-02";"Paid";0.0;0.0
"G00066";128;"2026-04-13";"Paid";0.0;0.0
"G00067";131;"2026-03-02";"Paid";0.0;0.0
"G00068";530;"2026-03-23";"Paid";0.0;0.0
"G00069";510;"2026-03-09";"Paid";0.0;0.0
"G00070";415;"2026-03-12";"Disputed";37.75;37.75
"G00071";519;"2026-01-22";"Unpaid";71.52;0.0
"G00072";411;"2026-04-13";"Paid";0.0;0.0
"G00073";412;"2026-06-10";"Paid";0.0;0.0
"G00074";528;"2026-05-29";"Unpaid";38.53;0.0
"G00075";303;"2026-02-18";"Paid";0.0;0.0
"G00076";318;"2026-02-12";"Paid";0.0;0.0
"G00077";511;"2026-04-09";"Unpaid";24.75;0.0
"G00078";226;"2026-06-22";"Paid";0.0;0.0
"G00079";531;"2026-01-11";"Paid";0.0;0.0
"G00080";403;"2026-05-03";"Paid";0.0;0.0
"G00081";517;"2026-01-30";"Paid";0.0;0.0
"G00082";418;"2026-04-27";"Paid";0.0;0.0
"G00083";405;"2026-01-27";"Paid";0.0;0.0
"G00084";430;"2026-06-09";"Paid";0.0;0.0
"G00085";120;"2026-04-01";"Paid";0.0;0.0
"G00086";120;"2026-06-11";"Paid";0.0;0.0
"G00087";433;"2026-03-23";"Unpaid";86.37;0.0
"G00088";220;"2026-06-08";"Paid";0.0;0.0
"G00089";332;"2026-02-02";"Paid";0.0;0.0
"G00090";321;"2026-06-07";"Paid";0.0;0.0
"G00091";210;"2026-01-28";"Unpaid";24.04;0.0
"G00092";120;"2026-04-09";"Paid";0.0;0.0
"G00093";103;"2026-04-06";"Paid";0.0;0.0
"G00094";526;"2026-06-03";"Paid";0.0;0.0
"G00095";527;"2026-05-10";"Paid";0.0;0.0
"G00096";431;"2026-03-11";"Unpaid";37.2;0.0
"G00097";102;"2026-06-29";"Paid";0.0;0.0
"G00098";232;"2026-01-15";"Paid";0.0;0.0
"G00099";530;"2026-04-05";"Paid";0.0;0.0
"G00100";329;"2026-05-19";"Paid";0.0;0.0
"G00101";427;"2026-01-26";"Paid";0.0;0.0
"G00102";503;"2026-05-12";"Paid";0.0;0.0
"G00103";423;"2026-03-20";"Paid";0.0;0.0
"G00104";402;"2026-05-18";"Paid";0.0;0.0
"G00105";533;"2026-06-14";"Paid";0.0;0.0
"G00106";305;"2026-06-30";"Paid";0.0;0.0
"G00107";325;"2026-02-12";"Disputed";55.39;55.39
"G00108";333;"2026-05-01";"Paid";0.0;0.0
"G00109";431;"2026-01-31";"Paid";0.0;0.0
"G00110";129;"2026-05-19";"Unpaid";34.0;0.0
"G00111";320;"2026-03-25";"Paid";0.0;0.0
"G00112";502;"2026-01-29";"Disputed";89.52;89.52
"G00113";421;"2026-06-20";"Paid";0.0;0.0
"G00114";128;"2026-02-20";"Paid";0.0;0.0
"G00115";114;"2026-01-13";"Unpaid";15.4;0.0
"G00116";428;"2026-01-22";"Paid";0.0;0.0
"G00117";231;"2026-01-08";"Paid";0.0;0.0
"G00118";316;"2026-06-29";"Paid";0.0;0.0
"G00119";328;"2026-01-11";"Paid";0.0;0.0
"G00120";127;"2026-06-25";"Paid";0.0;0.0
"G00121";526;"2026-06-29";"Paid";0.0;0.0
"G00122";101;"2026-05-05";"Paid";0.0;0.0
"G00123";328;"2026-06-25";"Paid";0.0;0.0
"G00124";504;"2026-05-27";"Paid";0.0;0.0
"G00125";214;"2026-04-26";"Paid";0.0;0.0
"G00126";414;"2026-05-09";"Paid";0.0;0.0
"G00127";415;"2026-06-24";"Disputed";141.1;141.1
"G00128";207;"2026-05-26";"Paid";0.0;0.0
"G00129";530;"2026-04-18";"Paid";0.0;0.0
"G00130";104;"2026-06-27";"Unpaid";98.12;0.0
"G00131";226;"2026-03-08";"Paid";0.0;0.0
"G00132";306;"2026-01-30";"Paid";0.0;0.0
"G00133";228;"2026-02-14";"Paid";0.0;0.0
"G00134";531;"2026-03-31";"Paid";0.0;0.0
"G00135";315;"2026-02-18";"Paid";0.0;0.0
"G00136";501;"2026-06-13";"Paid";0.0;0.0
"G00137";107;"2026-02-14";"Paid";0.0;0.0
"G00138";301;"2026-04-15";"Paid";0.0;0.0
"G00139";416;"2026-05-14";"Paid";0.0;0.0
"G00140";224;"2026-01-14";"Paid";0.0;0.0
"G00141";307;"2026-02-24";"Paid";0.0;0.0
"G00142";107;"2026-05-03";"Paid";0.0;0.0
"G00143";122;"2026-06-29";"Paid";0.0;0.0
"G00144";307;"2026-05-14";"Paid";0.0;0.0
"G00145";234;"2026-01-29";"Paid";0.0;0.0
"G00146";214;"2026-05-15";"Paid";0.0;0.0
"G00147";416;"2026-03-17";"Unpaid";20.39;0.0
"G00148";114;"2026-01-24";"Paid";0.0;0.0
"G00149";530;"2026-03-19";"Paid";0.0;0.0
"G00150";232;"2026-01-04";"Paid";0.0;0.0
"G00151";133;"2026-01-14";"Paid";0.0;0.0
"G00152";420;"2026-04-14";"Paid";0.0;0.0
"G00153";325;"2026-01-20";"Paid";0.0;0.0
"G00154";425;"2026-02-25";"Paid";0.0;0.0
"G00155";225;"2026-02-02";"Paid";0.0;0.0
"G00156";221;"2026-05-03";"Paid";0.0;0.0
"G00157";328;"2026-02-05";"Paid";0.0;0.0
"G00158";214;"2026-03-07";"Paid";0.0;0.0
"G00159";503;"2026-04-16";"Paid";0.0;0.0
"G00160";423;"2026-04-23";"Paid";0.0;0.0
"G00161";107;"2026-04-18";"Paid";0.0;0.0
"G00162";234;"2026-04-17";"Paid";0.0;0.0
"G00163";417;"2026-03-13";"Paid";0.0;0.0
"G00164";203;"2026-05-08";"Paid";0.0;0.0
"G00165";103;"2026-04-13";"Paid";0.0;0.0
"G00166";212;"2026-05-07";"Paid";0.0;0.0
"G00167";431;"2026-05-27";"Paid";0.0;0.0
"G00168";419;"2026-05-17";"Paid";0.0;0.0
"G00169";419;"2026-04-03";"Unpaid";10.12;0.0
"G00170";205;"2026-01-31";"Paid";0.0;0.0
"G00171";504;"2026-04-28";"Paid";0.0;0.0
"G00172";312;"2026-04-06";"Unpaid";33.82;0.0
"G00173";414;"2026-03-22";"Paid";0.0;0.0
"G00174";312;"2026-03-18";"Paid";0.0;0.0
"G00175";527;"2026-04-03";"Paid";0.0;0.0
"G00176";533;"2026-02-19";"Paid";0.0;0.0
"G00177";403;"2026-03-20";"Paid";0.0;0.0
"G00178";324;"2026-06-10";"Paid";0.0;0.0
"G00179";317;"2026-02-15";"Paid";0.0;0.0
"G00180";411;"2026-03-05";"Paid";0.0;0.0
"G00181";330;"2026-04-23";"Paid";0.0;0.0
"G00182";533;"2026-03-09";"Paid";0.0;0.0
"G00183";102;"2026-02-05";"Paid";0.0;0.0
"G00184";419;"2026-02-14";"Paid";0.0;0.0
"G00185";412;"2026-06-30";"Paid";0.0;0.0
"G00186";118;"2026-03-25";"Paid";0.0;0.0
"G00187";510;"2026-06-17";"Paid";0.0;0.0
"G00188";231;"2026-03-11";"Paid";0.0;0.0
"G00189";421;"2026-06-23";"Unpaid";146.09;0.0
"G00190";108;"2026-06-26";"Disputed";70.33;70.33
"G00191";409;"2026-03-03";"Disputed";0.0;111.53
"G00192";421;"2026-04-28";"Paid";0.0;0.0
"G00193";234;"2026-03-27";"Paid";0.0;0.0
"G00194";401;"2026-02-07";"Paid";0.0;0.0
"G00195";309;"2026-05-17";"Paid";0.0;0.0
"G00196";209;"2026-04-20";"Paid";0.0;0.0
"G00197";507;"2026-01-09";"Paid";0.0;0.0
"G00198";422;"2026-02-27";"Paid";0.0;0.0
"G00199";505;"2026-03-19";"Paid";0.0;0.0
"G00200";215;"2026-03-19";"Paid";0.0;0.0
"G00201";511;"2026-01-07";"Paid";0.0;0.0
"G00202";404;"2026-01-23";"Paid";0.0;0.0
"G00203";114;"2026-04-17";"Unpaid";12.2;0.0
"G00204";410;"2026-03-03";"Paid";0.0;0.0
"G00205";532;"2026-04-13";"Unpaid";23.41;0.0
"G00206";513;"2026-04-15";"Paid";0.0;0.0
"G00207";314;"2026-04-02";"Paid";0.0;0.0
"G00208";222;"2026-01-08";"Unpaid";21.04;0.0
"G00209";417;"2026-04-23";"Unpaid";38.57;0.0
"G00210";312;"2026-06-30";"Paid";0.0;0.0
"G00211";432;"2026-06-16";"Paid";0.0;0.0
"G00212";412;"2026-03-16";"Paid";0.0;0.0
"G00213";125;"2026-01-11";"Paid";0.0;0.0
"G00214";502;"2026-04-14";"Paid";0.0;0.0
"G00215";523;"2026-02-25";"Paid";0.0;0.0
"G00216";503;"2026-02-21";"Disputed";94.14;94.14
"G00217";418;"2026-05-07";"Paid";0.0;0.0
"G00218";119;"2026-06-25";"Paid";0.0;0.0
"G00219";509;"2026-05-11";"Paid";0.0;0.0
"G00220";429;"2026-06-17";"Unpaid";164.27;0.0
"G00221";226;"2026-06-02";"Paid";0.0;0.0
"G00222";207;"2026-03-24";"Paid";0.0;0.0
"G00223";330;"2026-02-03";"Unpaid";49.33;0.0
"G00224";122;"2026-06-30";"Paid";0.0;0.0
"G00225";221;"2026-02-13";"Paid";0.0;0.0
"G00226";405;"2026-04-20";"Disputed";19.36;19.36
"G00227";333;"2026-02-10";"Paid";0.0;0.0
"G00228";429;"2026-04-07";"Paid";0.0;0.0
"G00229";429;"2026-05-28";"Paid";0.0;0.0
"G00230";303;"2026-01-17";"Paid";0.0;0.0
"G00231";134;"2026-03-13";"Paid";0.0;0.0
"G00232";215;"2026-02-25";"Paid";0.0;0.0
"G00233";213;"2026-02-24";"Paid";0.0;0.0
"G00234";128;"2026-03-17";"Paid";0.0;0.0
"G00235";202;"2026-01-27";"Paid";0.0;0.0
"G00236";422;"2026-03-22";"Paid";0.0;0.0
"G00237";405;"2026-01-12";"Paid";0.0;0.0
"G00238";511;"2026-02-28";"Paid";0.0;0.0
"G00239";208;"2026-06-30";"Paid";0.0;0.0
"G00240";106;"2026-06-04";"Paid";0.0;0.0
"G00241";122;"2026-06-26";"Paid";0.0;0.0
"G00242";312;"2026-02-09";"Paid";0.0;0.0
"G00243";228;"2026-06-04";"Paid";0.0;0.0
"G00244";226;"2026-02-04";"Paid";0.0;0.0
"G00245";133;"2026-05-26";"Unpaid";91.54;0.0
"G00246";405;"2026-05-17";"Paid";0.0;0.0
"G00247";524;"2026-04-25";"Paid";0.0;0.0
"G00248";208;"2026-02-12";"Paid";0.0;0.0
"G00249";531;"2026-03-23";"Paid";0.0;0.0
"G00250";131;"2026-01-10";"Paid";0.0;0.0
"G00251";302;"2026-02-15";"Paid";0.0;0.0
"G00252";226;"2026-01-26";"Unpaid";99.87;0.0
"G00253";512;"2026-04-11";"Paid";0.0;0.0
"G00254";203;"2026-05-13";"Paid";0.0;0.0
"G00255";102;"2026-03-10";"Paid";0.0;0.0
"G00256";308;"2026-04-19";"Paid";0.0;0.0
"G00257";303;"2026-06-05";"Paid";0.0;0.0
"G00258";217;"2026-06-16";"Paid";0.0;0.0
"G00259";431;"2026-03-28";"Paid";0.0;0.0
"G00260";527;"2026-02-18";"Paid";0.0;0.0
"G00261";514;"2026-04-20";"Paid";0.0;0.0
"G00262";429;"2026-01-20";"Paid";0.0;0.0
"G00263";207;"2026-05-16";"Paid";0.0;0.0
"G00264";401;"2026-04-05";"Paid";0.0;0.0
"G00265";423;"2026-03-06";"Paid";0.0;0.0
"G00266";413;"2026-06-22";"Paid";0.0;0.0
"G00267";305;"2026-03-10";"Paid";0.0;0.0
"G00268";102;"2026-05-13";"Paid";0.0;0.0
"G00269";232;"2026-03-18";"Paid";0.0;0.0
"G00270";205;"2026-03-21";"Paid";0.0;0.0
"G00271";412;"2026-05-24";"Paid";0.0;0.0
"G00272";220;"2026-06-07";"Paid";0.0;0.0
"G00273";403;"2026-03-27";"Paid";0.0;0.0
"G00274";508;"2026-05-24";"Paid";0.0;0.0
"G00275";107;"2026-01-28";"Disputed";36.09;36.09
"G00276";512;"2026-04-30";"Paid";0.0;0.0
"G00277";307;"2026-01-08";"Paid";0.0;0.0
"G00278";323;"2026-01-13";"Paid";0.0;0.0
"G00279";329;"2026-05-28";"Paid";0.0;0.0
"G00280";423;"2026-02-25";"Paid";0.0;0.0
"G00281";110;"2026-05-10";"Paid";0.0;0.0
"G00282";303;"2026-06-03";"Paid";0.0;0.0
"G00283";207;"2026-01-21";"Unpaid";37.27;0.0
"G00284";514;"2026-03-18";"Paid";0.0;0.0
"G00285";302;"2026-01-22";"Paid";0.0;0.0
"G00286";417;"2026-03-02";"Paid";0.0;0.0
"G00287";416;"2026-04-24";"Unpaid";10.78;0.0
"G00288";123;"2026-05-23";"Paid";0.0;0.0
"G00289";404;"2026-05-13";"Paid";0.0;0.0
"G00290";220;"2026-04-22";"Paid";0.0;0.0
"G00291";408;"2026-04-15";"Paid";0.0;0.0
"G00292";510;"2026-06-28";"Paid";0.0;0.0
"G00293";519;"2026-06-14";"Paid";0.0;0.0
"G00294";216;"2026-06-25";"Unpaid";61.65;0.0
"G00295";110;"2026-01-10";"Unpaid";10.5;0.0
"G00296";114;"2026-05-06";"Paid";0.0;0.0
"G00297";414;"2026-05-27";"Paid";0.0;0.0
"G00298";129;"2026-02-02";"Paid";0.0;0.0
"G00299";518;"2026-03-20";"Paid";0.0;0.0
"G00300";416;"2026-05-07";"Unpaid";61.37;0.0
"G00301";421;"2026-04-16";"Paid";0.0;0.0
"G00302";529;"2026-02-23";"Paid";0.0;0.0
"G00303";225;"2026-03-27";"Paid";0.0;0.0
"G00304";202;"2026-06-16";"Paid";0.0;0.0
"G00305";104;"2026-02-20";"Paid";0.0;0.0
"G00306";228;"2026-04-27";"Paid";0.0;0.0
"G00307";312;"2026-01-16";"Paid";0.0;0.0
"G00308";323;"2026-06-10";"Paid";0.0;0.0
"G00309";511;"2026-01-15";"Unpaid";45.23;0.0
"G00310";503;"2026-03-08";"Paid";0.0;0.0
"G00311";324;"2026-01-16";"Paid";0.0;0.0
"G00312";301;"2026-03-04";"Disputed";75.51;75.51
"G00313";428;"2026-06-22";"Paid";0.0;0.0
"G00314";430;"2026-05-24";"Paid";0.0;0.0
"G00315";334;"2026-01-06";"Paid";0.0;0.0
"G00316";109;"2026-01-31";"Paid";0.0;0.0
"G00317";516;"2026-03-13";"Unpaid";161.09;0.0
"G00318";524;"2026-06-18";"Disputed";49.57;49.57
"G00319";312;"2026-05-05";"Disputed";165.67;165.67
"G00320";424;"2026-06-04";"Paid";0.0;0.0
"G00321";211;"2026-01-19";"Paid";0.0;0.0
"G00322";425;"2026-02-17";"Paid";0.0;0.0
"G00323";306;"2026-06-21";"Paid";0.0;0.0
"G00324";522;"2026-06-09";"Unpaid";64.86;0.0
"G00325";132;"2026-05-13";"Paid";0.0;0.0
"G00326";123;"2026-02-26";"Paid";0.0;0.0
"G00327";102;"2026-01-27";"Unpaid";51.73;0.0
"G00328";101;"2026-05-02";"Paid";0.0;0.0
"G00329";527;"2026-05-24";"Paid";0.0;0.0
"G00330";132;"2026-02-08";"Paid";0.0;0.0
"G00331";405;"2026-03-21";"Paid";0.0;0.0
"G00332";411;"2026-03-21";"Paid";0.0;0.0
"G00333";315;"2026-03-21";"Paid";0.0;0.0
"G00334";419;"2026-03-28";"Unpaid";125.49;0.0
"G00335";220;"2026-05-16";"Paid";0.0;0.0
"G00336";409;"2026-01-25";"Paid";0.0;0.0
"G00337";205;"2026-03-18";"Paid";0.0;0.0
"G00338";308;"2026-02-16";"Unpaid";21.74;0.0
"G00339";326;"2026-04-06";"Paid";0.0;0.0
"G00340";407;"2026-03-21";"Paid";0.0;0.0
"G00341";228;"2026-04-24";"Paid";0.0;0.0
"G00342";319;"2026-06-23";"Paid";0.0;0.0
"G00343";233;"2026-02-13";"Paid";0.0;0.0
"G00344";205;"2026-04-04";"Paid";0.0;0.0
"G00345";127;"2026-05-05";"Paid";0.0;0.0
"G00346";313;"2026-02-25";"Paid";0.0;0.0
"G00347";516;"2026-02-11";"Unpaid";65.86;0.0
"G00348";429;"2026-01-25";"Paid";0.0;0.0
"G00349";307;"2026-05-23";"Paid";0.0;0.0
"G00350";432;"2026-04-05";"Disputed";0.0;39.16
"G00351";301;"2026-05-18";"Paid";0.0;0.0
"G00352";302;"2026-01-27";"Disputed";103.44;103.44
"G00353";125;"2026-05-10";"Paid";0.0;0.0
"G00354";110;"2026-03-26";"Paid";0.0;0.0
"G00355";103;"2026-02-01";"Paid";0.0;0.0
"G00356";201;"2026-05-20";"Paid";0.0;0.0
"G00357";508;"2026-03-14";"Paid";0.0;0.0
"G00358";511;"2026-05-04";"Disputed";68.55;68.55
"G00359";422;"2026-06-30";"Paid";0.0;0.0
"G00360";303;"2026-03-02";"Paid";0.0;0.0
"G00361";314;"2026-03-07";"Paid";0.0;0.0
"G00362";231;"2026-05-01";"Paid";0.0;0.0
"G00363";129;"2026-05-12";"Paid";0.0;0.0
"G00364";329;"2026-02-15";"Paid";0.0;0.0
"G00365";414;"2026-03-05";"Unpaid";136.62;0.0
"G00366";424;"2026-05-26";"Paid";0.0;0.0
"G00367";514;"2026-01-26";"Paid";0.0;0.0
"G00368";224;"2026-03-03";"Paid";0.0;0.0
"G00369";431;"2026-06-27";"Paid";0.0;0.0
"G00370";207;"2026-04-22";"Unpaid";98.13;0.0
"G00371";225;"2026-03-10";"Paid";0.0;0.0
"G00372";203;"2026-05-04";"Paid";0.0;0.0
"G00373";312;"2026-03-10";"Unpaid";67.75;0.0
"G00374";228;"2026-01-23";"Paid";0.0;0.0
"G00375";123;"2026-04-25";"Paid";0.0;0.0
"G00376";314;"2026-04-19";"Paid";0.0;0.0
"G00377";512;"2026-01-13";"Paid";0.0;0.0
"G00378";510;"2026-04-30";"Paid";0.0;0.0
"G00379";211;"2026-06-04";"Unpaid";47.81;0.0
"G00380";421;"2026-01-12";"Paid";0.0;0.0
"G00381";115;"2026-06-26";"Paid";0.0;0.0
"G00382";215;"2026-01-18";"Paid";0.0;0.0
"G00383";525;"2026-02-20";"Paid";0.0;0.0
"G00384";114;"2026-03-10";"Paid";0.0;0.0
"G00385";512;"2026-03-17";"Paid";0.0;0.0
"G00386";501;"2026-03-04";"Unpaid";52.91;0.0
"G00387";125;"2026-06-18";"Paid";0.0;0.0
"G00388";423;"2026-03-14";"Paid";0.0;0.0
"G00389";310;"2026-06-04";"Paid";0.0;0.0
"G00390";516;"2026-04-04";"Paid";0.0;0.0
"G00391";128;"2026-03-28";"Paid";0.0;0.0
"G00392";533;"2026-05-03";"Paid";0.0;0.0
"G00393";520;"2026-05-24";"Paid";0.0;0.0
"G00394";223;"2026-03-31";"Paid";0.0;0.0
"G00395";329;"2026-05-21";"Paid";0.0;0.0
"G00396";308;"2026-04-26";"Paid";0.0;0.0
"G00397";227;"2026-04-25";"Paid";0.0;0.0
"G00398";520;"2026-01-29";"Paid";0.0;0.0
"G00399";130;"2026-02-03";"Paid";0.0;0.0
"G00400";408;"2026-04-16";"Paid";0.0;0.0
"G00401";427;"2026-05-06";"Unpaid";85.72;0.0
"G00402";206;"2026-02-23";"Paid";0.0;0.0
"G00403";313;"2026-02-20";"Paid";0.0;0.0
"G00404";421;"2026-01-05";"Paid";0.0;0.0
"G00405";514;"2026-02-11";"Paid";0.0;0.0
"G00406";121;"2026-03-04";"Paid";0.0;0.0
"G00407";214;"2026-04-04";"Unpaid";151.9;0.0
"G00408";411;"2026-05-17";"Paid";0.0;0.0
"G00409";102;"2026-05-11";"Disputed";0.0;17.35
"G00410";115;"2026-04-14";"Paid";0.0;0.0
"G00411";225;"2026-02-14";"Paid";0.0;0.0
"G00412";504;"2026-05-04";"Paid";0.0;0.0
"G00413";228;"2026-03-18";"Paid";0.0;0.0
"G00414";310;"2026-05-21";"Paid";0.0;0.0
"G00415";502;"2026-02-08";"Unpaid";22.84;0.0
"G00416";505;"2026-03-20";"Paid";0.0;0.0
"G00417";205;"2026-02-10";"Paid";0.0;0.0
"G00418";527;"2026-05-25";"Paid";0.0;0.0
"G00419";115;"2026-04-04";"Paid";0.0;0.0
"G00420";202;"2026-06-20";"Paid";0.0;0.0
"G00421";514;"2026-01-17";"Paid";0.0;0.0
"G00422";232;"2026-01-21";"Paid";0.0;0.0
"G00423";323;"2026-01-15";"Paid";0.0;0.0
"G00424";119;"2026-02-02";"Paid";0.0;0.0
"G00425";128;"2026-05-27";"Paid";0.0;0.0
"G00426";532;"2026-05-05";"Paid";0.0;0.0
"G00427";421;"2026-04-29";"Paid";0.0;0.0
"G00428";506;"2026-03-28";"Paid";0.0;0.0
"G00429";215;"2026-04-01";"Paid";0.0;0.0
"G00430";112;"2026-04-08";"Paid";0.0;0.0
"G00431";422;"2026-05-13";"Disputed";141.1;141.1
"G00432";223;"2026-02-15";"Paid";0.0;0.0
"G00433";512;"2026-05-12";"Paid";0.0;0.0
"G00434";422;"2026-02-23";"Paid";0.0;0.0
"G00435";203;"2026-05-13";"Paid";0.0;0.0
"G00436";306;"2026-06-21";"Paid";0.0;0.0
"G00437";211;"2026-03-27";"Paid";0.0;0.0
"G00438";334;"2026-04-06";"Paid";0.0;0.0
"G00439";315;"2026-06-07";"Paid";0.0;0.0
"G00440";206;"2026-02-18";"Disputed";0.0;47.0
"G00441";333;"2026-04-09";"Paid";0.0;0.0
"G00442";234;"2026-04-24";"Disputed";0.0;25.73
"G00443";427;"2026-05-28";"Paid";0.0;0.0
"G00444";431;"2026-04-03";"Unpaid";25.02;0.0
"G00445";501;"2026-06-18";"Paid";0.0;0.0
"G00446";410;"2026-03-22";"Paid";0.0;0.0
"G00447";504;"2026-01-04";"Disputed";113.89;113.89
"G00448";412;"2026-05-09";"Paid";0.0;0.0
"G00449";533;"2026-05-14";"Paid";0.0;0.0
"G00450";108;"2026-05-27";"Paid";0.0;0.0
"G00451";106;"2026-06-20";"Paid";0.0;0.0
"G00452";102;"2026-02-16";"Paid";0.0;0.0
"G00453";421;"2026-04-25";"Paid";0.0;0.0
"G00454";120;"2026-01-11";"Paid";0.0;0.0
"G00455";509;"2026-03-13";"Paid";0.0;0.0
"G00456";130;"2026-02-08";"Paid";0.0;0.0
"G00457";328;"2026-06-07";"Paid";0.0;0.0
"G00458";430;"2026-06-23";"Disputed";105.39;105.39
"G00459";522;"2026-02-21";"Paid";0.0;0.0
"G00460";527;"2026-06-05";"Unpaid";136.77;0.0
"G00461";420;"2026-03-16";"Disputed";0.0;41.43
"G00462";116;"2026-01-05";"Paid";0.0;0.0
"G00463";317;"2026-05-10";"Paid";0.0;0.0
"G00464";310;"2026-03-23";"Paid";0.0;0.0
"G00465";201;"2026-06-20";"Paid";0.0;0.0
"G00466";202;"2026-03-28";"Paid";0.0;0.0
"G00467";231;"2026-01-20";"Paid";0.0;0.0
"G00468";416;"2026-06-21";"Paid";0.0;0.0
"G00469";131;"2026-03-29";"Paid";0.0;0.0
"G00470";523;"2026-01-10";"Paid";0.0;0.0
"G00471";334;"2026-01-26";"Paid";0.0;0.0
"G00472";515;"2026-05-14";"Paid";0.0;0.0
"G00473";221;"2026-02-12";"Paid";0.0;0.0
"G00474";203;"2026-02-22";"Paid";0.0;0.0
"G00475";103;"2026-03-15";"Paid";0.0;0.0
"G00476";205;"2026-04-16";"Paid";0.0;0.0
"G00477";412;"2026-02-05";"Paid";0.0;0.0
"G00478";528;"2026-05-04";"Paid";0.0;0.0
"G00479";423;"2026-05-26";"Paid";0.0;0.0
"G00480";520;"2026-05-26";"Paid";0.0;0.0
"G00481";326;"2026-03-10";"Paid";0.0;0.0
"G00482";307;"2026-04-30";"Paid";0.0;0.0
"G00483";233;"2026-03-25";"Paid";0.0;0.0
"G00484";323;"2026-06-02";"Paid";0.0;0.0
"G00485";301;"2026-06-25";"Paid";0.0;0.0
"G00486";203;"2026-05-18";"Paid";0.0;0.0
"G00487";522;"2026-05-13";"Paid";0.0;0.0
"G00488";201;"2026-03-10";"Disputed";0.0;26.38
"G00489";403;"2026-03-16";"Paid";0.0;0.0
"G00490";134;"2026-04-10";"Paid";0.0;0.0
"G00491";411;"2026-04-11";"Paid";0.0;0.0
"G00492";123;"2026-06-03";"Paid";0.0;0.0
